dept_name,date_established,contact_info
Aeronautical Engineering,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Artificial Intelligence & Data Science,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Artificial Intelligence & Machine Learning,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Automobile Engineering,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Biomedical Engineering,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Biotechnology,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Chemical Engineering,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Chemistry,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Civil Engineering,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Computer Science & Business Systems,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Computer Science & Design,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Computer Science & Engineering,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Computer Science & Engineering (Cyber Security),2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Electrical & Electronics Engineering,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Electronics & Communication Engineering,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
English,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Food Technology,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Humanities & Sciences,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Information Technology,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Management Studies,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Mathematics,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Mechanical Engineering,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Mechatronics Engineering,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Physical Education,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Physics,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Robotics & Automation,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Placement,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email: admin@rajalakshmi.edu.in"
Administration,2025-01-01,"Rajalakshmi Engineering College, Rajalakshmi Nagar, Thandalam, Chennai - 602 105. Phone: +91-44-67181111, 67181112. Email:admin@rajalakshmi.edu.in"
