id,course_id,course_name,course_dept_id,credits,lecture_hours,practical_hours,tutorial_hours,regulation,course_type
1,HS23111,Technical Communication -I,Aeronautical Engineering,2,2,0,0,2023.0,Theory
2,MA23112,Algebra and Calculus,Aeronautical Engineering,4,3,0,1,2023.0,Theory
3,PH23131,Physics of Materials,Aeronautical Engineering,4,3,2,0,2023.0,LOT
4,GE23111,Engineering Graphics,Aeronautical Engineering,4,4,0,2,2023.0,Theory
5,GE23117,தமிழர் மரபு /Heritage of Tamils,Aeronautical Engineering,1,1,0,0,2023.0,Theory
6,EE23133,Basic Electrical and Electronics Engineering,Aeronautical Engineering,4,3,2,0,2023.0,LOT
7,MC23112,Environmental Science and Engineering,Aeronautical Engineering,0,3,0,0,2023.0,Theory
8,GE23121,Engineering Practices – Civil and Mechanical,Aeronautical Engineering,1,0,2,0,2023.0,Laboratory
9,HS23221/HS23222,Technical Communication II/ English for Professional Competence,Aeronautical Engineering,1,2,0,0,2023.0,Theory
10,MA23212,"Differential Equation and Analytical 
Complex Functions",Aeronautical Engineering,4,3,0,1,2023.0,Theory
11,CY23223,Engineering Chemistry ,Aeronautical Engineering,4,3,2,0,2023.0,LOT
12,GE23211,Engineering Mechanics,Aeronautical Engineering,3,2,0,1,2023.0,Theory
13,AE23211,Fundamentals of Aerospace Engineering ,Aeronautical Engineering,3,3,0,0,2023.0,Theory
14,GE23233,Problem Solving and Python Programming,Aeronautical Engineering,4,2,4,0,2023.0,LOT
15,GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,Aeronautical Engineering,1,1,0,0,2023.0,Theory
16,MC23111,Indian Constitution and Freedom Movement,Aeronautical Engineering,0,3,0,0,2023.0,Theory
17,GE23122,Engineering Practices – Electrical and Electronics,Aeronautical Engineering,1,0,2,0,2023.0,Laboratory
18,MA23311,Transforms and Applied Partial Differential Equations,Aeronautical Engineering,4,3,0,1,2023.0,Theory
19,AE23331,Solid Mechanics,Aeronautical Engineering,4,2,2,1,2023.0,LOT
20,AE23332,Fluid Mechanics and Fluid Machinery,Aeronautical Engineering,4,2,2,1,2023.0,LOT
21,AE23333,Aero Engineering Thermodynamics,Aeronautical Engineering,4,2,2,1,2023.0,LOT
22,CS23422,Python Programming for Machine Learning,Aeronautical Engineering,2,0,4,0,2023.0,Laboratory
23,OE - 1,Open Elective - I,Aeronautical Engineering,3,3,0,0,2023.0,Open Elective
24,AE23321,Computer Aided Modelling Laboratory,Aeronautical Engineering,2,0,4,0,2023.0,Laboratory
25,MA23432,Statistics and Numerical Methods,Aeronautical Engineering,4,3,2,0,2023.0,LOT
26,AE23411,Aircraft Structures - I,Aeronautical Engineering,3,2,0,1,2023.0,Theory
27,AE23412,Control Engineering,Aeronautical Engineering,3,3,0,0,2023.0,Theory
28,AE23431,Incompressible Aerodynamics,Aeronautical Engineering,4,2,2,1,2023.0,LOT
29,AE23432,Aircraft Materials and Processes,Aeronautical Engineering,4,3,2,0,2023.0,LOT
30,AE23433,Aircraft Systems and Instruments,Aeronautical Engineering,3,2,2,0,2023.0,LOT
31,GE23327,Soft Skills – I,Aeronautical Engineering,1,0,2,0,2023.0,Laboratory
32,AE23511,Aircraft Propulsion,Aeronautical Engineering,3,2,0,1,2023.0,Theory
33,AE23512,Compressible Aerodynamics,Aeronautical Engineering,3,2,0,1,2023.0,Theory
34,AE23513,Flight Dynamics,Aeronautical Engineering,3,2,0,1,2023.0,Theory
35,AE23531,Aircraft Structures - II,Aeronautical Engineering,4,2,2,1,2023.0,LOT
36,AEPE1,Professional Elective – I,Aeronautical Engineering,3,3,0,0,2023.0,Professional Elective
37,OE - 2,Open Elective - II,Aeronautical Engineering,3,3,0,0,2023.0,Open Elective
38,GE23427,Soft Skills – II,Aeronautical Engineering,1,0,2,0,2023.0,Laboratory
39,AE23521,Airframe and Aero Engine Laboratory,Aeronautical Engineering,2,0,4,0,2023.0,Laboratory
40,AE23611,Rocket Propulsion,Aeronautical Engineering,3,2,0,1,2023.0,Theory
41,AE23612,Composite Materials and Structures,Aeronautical Engineering,3,3,0,0,2023.0,Theory
42,AE23631,Flight Vehicle Design,Aeronautical Engineering,4,3,2,0,2023.0,LOT
43,AE23632,Innovation and Design Thinking for Engineers,Aeronautical Engineering,2,0,2,0,2023.0,Laboratory
44,AEPE2,Professional Elective – II,Aeronautical Engineering,3,3,0,0,2023.0,Professional Elective
45,AE23621,Artificial Intelligence and Machine Learning for Aeronautical Engineering,Aeronautical Engineering,2,0,4,0,2023.0,Laboratory
46,AE23622,Jet propulsion Laboratory,Aeronautical Engineering,2,0,4,0,2023.0,Laboratory
47,AE23623,Computational Simulation Laboratory,Aeronautical Engineering,2,0,4,0,2023.0,Laboratory
48,GE23627,Problem Solving Techniques,Aeronautical Engineering,1,0,2,0,2023.0,Laboratory
49,AE23731,Avionics,Aeronautical Engineering,4,3,2,0,2023.0,LOT
50,GE23711,Fundamentals of Management for Engineers,Aeronautical Engineering,3,3,0,0,2023.0,Theory
51,AEPE3,Professional Elective – III,Aeronautical Engineering,3,3,0,0,2023.0,Professional Elective
52,AEPE4,Professional Elective – IV,Aeronautical Engineering,3,3,0,0,2023.0,Professional Elective
53,AEPE5,Professional Elective – V,Aeronautical Engineering,3,3,0,0,2023.0,Professional Elective
54,AE23721,Project Work (Phase - I),Aeronautical Engineering,2,0,4,0,2023.0,Laboratory
55,AEPE6,Professional Elective – VI,Aeronautical Engineering,3,3,0,0,2023.0,Professional Elective
56,AE23821,Project Work (Phase - II),Aeronautical Engineering,8,0,16,0,2023.0,Laboratory
57,HS23111,Technical Communication -I,Artificial Intelligence and Data Science,2,2,0,0,2023.0,Theory
58,MA23116,Mathematical Foundations for AI,Artificial Intelligence and Data Science,4,3,0,1,2023.0,Theory
59,GE23117,தமிழர் மரபு /Heritage of Tamils,Artificial Intelligence and Data Science,1,1,0,0,2023.0,Theory
60,PH23132,Physics for Information Science,Artificial Intelligence and Data Science,4,3,2,0,2023.0,LOT
61,GE23131,Programming using C,Artificial Intelligence and Data Science,4,1,6,0,2023.0,LOT
62,EE23133,Basic Electrical and Electronics Engineering,Artificial Intelligence and Data Science,4,3,2,0,2023.0,LOT
63,GE23122,Engineering Practices – Electrical and Electronics,Artificial Intelligence and Data Science,1,0,2,0,2023.0,Laboratory
64,MC23111,Indian Constitution and Freedom Movement,Artificial Intelligence and Data Science,0,3,0,0,2023.0,Others
65,MA23214,Probability and Inferential Statistics,Artificial Intelligence and Data Science,4,3,0,1,2023.0,Theory
66,GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,Artificial Intelligence and Data Science,1,1,0,0,2023.0,Theory
67,GE23111,Engineering Graphics,Artificial Intelligence and Data Science,4,2,4,0,2023.0,Theory
68,IT23231,Digital Logic and Computer Architecture,Artificial Intelligence and Data Science,4,3,2,0,2023.0,LOT
69,AI23231,Principles of Artificial Intelligence,Artificial Intelligence and Data Science,4,3,2,0,2023.0,LOT
